datetime,system_demand_actual,nem_demand_actual,nem_demand_forecast
2014-09-29 00:30:00,5311,5229,5143
2014-09-29 01:00:00,5176,5090,5032
2014-09-29 01:30:00,5100,5015,4953
2014-09-29 02:00:00,5024,4938,4880
2014-09-29 02:30:00,4957,4871,4834
2014-09-29 03:00:00,4902,4815,4787
2014-09-29 03:30:00,4868,4784,4751
2014-09-29 04:00:00,4851,4767,4722
2014-09-29 04:30:00,4821,4740,4711
2014-09-29 05:00:00,4833,4749,4717
2014-09-29 05:30:00,4869,4787,4755
2014-09-29 06:00:00,4972,4887,4849
2014-09-29 06:30:00,5162,5075,5016
2014-09-29 07:00:00,5321,5236,5191
2014-09-29 07:30:00,5454,5368,5347
2014-09-29 08:00:00,5690,5606,5600
2014-09-29 08:30:00,6041,5960,5940
2014-09-29 09:00:00,6299,6213,6200
2014-09-29 09:30:00,6470,6384,6371
2014-09-29 10:00:00,6568,6483,6469
2014-09-29 10:30:00,6659,6576,6545
2014-09-29 11:00:00,6749,6664,6615
2014-09-29 11:30:00,6761,6672,6644
2014-09-29 12:00:00,6730,6647,6617
2014-09-29 12:30:00,6658,6571,6556
2014-09-29 13:00:00,6635,6553,6517
2014-09-29 13:30:00,6706,6622,6557
2014-09-29 14:00:00,6736,6651,6615
2014-09-29 14:30:00,6786,6704,6635
2014-09-29 15:00:00,6768,6685,6620
2014-09-29 15:30:00,6771,6690,6594
2014-09-29 16:00:00,6771,6686,6607
2014-09-29 16:30:00,6765,6678,6621
2014-09-29 17:00:00,6752,6667,6601
2014-09-29 17:30:00,6703,6619,6548
2014-09-29 18:00:00,6609,6531,6448
2014-09-29 18:30:00,6400,6320,6285
2014-09-29 19:00:00,6383,6298,6283
2014-09-29 19:30:00,6431,6352,6312
2014-09-29 20:00:00,6377,6294,6281
2014-09-29 20:30:00,6348,6265,6232
2014-09-29 21:00:00,6311,6228,6175
2014-09-29 21:30:00,6264,6178,6108
2014-09-29 22:00:00,6192,6105,6012
2014-09-29 22:30:00,6040,5956,5863
2014-09-29 23:00:00,5920,5839,5731
2014-09-29 23:30:00,5760,5676,5600
2014-09-30 00:00:00,5618,5530,5479
2014-09-30 00:30:00,5462,5377,5410
2014-09-30 01:00:00,5332,5245,5294
2014-09-30 01:30:00,5221,5136,5155
2014-09-30 02:00:00,5170,5088,5086
2014-09-30 02:30:00,5107,5024,4997
2014-09-30 03:00:00,5053,4969,4967
2014-09-30 03:30:00,4998,4917,4908
2014-09-30 04:00:00,4993,4908,4901
2014-09-30 04:30:00,4965,4881,4862
2014-09-30 05:00:00,4971,4886,4873
2014-09-30 05:30:00,5010,4927,4894
2014-09-30 06:00:00,5092,5006,4996
2014-09-30 06:30:00,5272,5188,5145
2014-09-30 07:00:00,5415,5337,5307
2014-09-30 07:30:00,5496,5411,5418
2014-09-30 08:00:00,5728,5646,5656
2014-09-30 08:30:00,6055,5969,5983
2014-09-30 09:00:00,6293,6207,6246
2014-09-30 09:30:00,6444,6362,6383
2014-09-30 10:00:00,6542,6457,6488
2014-09-30 10:30:00,6636,6554,6552
2014-09-30 11:00:00,6710,6626,6630
2014-09-30 11:30:00,6739,6654,6647
2014-09-30 12:00:00,6704,6619,6631
2014-09-30 12:30:00,6627,6544,6540
2014-09-30 13:00:00,6638,6555,6541
2014-09-30 13:30:00,6693,6615,6578
2014-09-30 14:00:00,6726,6650,6648
2014-09-30 14:30:00,6772,6690,6658
2014-09-30 15:00:00,6775,6691,6660
2014-09-30 15:30:00,6745,6663,6624
2014-09-30 16:00:00,6771,6689,6644
2014-09-30 16:30:00,6778,6696,6631
2014-09-30 17:00:00,6770,6688,6636
2014-09-30 17:30:00,6724,6637,6573
2014-09-30 18:00:00,6588,6506,6495
2014-09-30 18:30:00,6418,6335,6323
2014-09-30 19:00:00,6436,6355,6323
2014-09-30 19:30:00,6467,6386,6346
2014-09-30 20:00:00,6463,6380,6340
2014-09-30 20:30:00,6442,6359,6278
2014-09-30 21:00:00,6406,6326,6252
2014-09-30 21:30:00,6373,6286,6177
2014-09-30 22:00:00,6293,6207,6103
2014-09-30 22:30:00,6139,6055,5947
2014-09-30 23:00:00,5992,5910,5836
2014-09-30 23:30:00,5859,5769,5693
2014-10-01 00:00:00,5707,5621,5579
2014-10-01 00:30:00,5548,5463,5314
2014-10-01 01:00:00,5425,5341,5188
2014-10-01 01:30:00,5332,5245,5120
2014-10-01 02:00:00,5245,5159,5055
2014-10-01 02:30:00,5184,5099,5016
2014-10-01 03:00:00,5107,5028,4964
2014-10-01 03:30:00,5078,4994,4928
2014-10-01 04:00:00,5028,4942,4895
2014-10-01 04:30:00,5017,4929,4885
2014-10-01 05:00:00,5016,4928,4879
2014-10-01 05:30:00,5045,4954,4919
2014-10-01 06:00:00,5145,5057,5001
2014-10-01 06:30:00,5301,5217,5169
2014-10-01 07:00:00,5443,5361,5314
2014-10-01 07:30:00,5548,5464,5433
2014-10-01 08:00:00,5793,5705,5666
2014-10-01 08:30:00,6130,6042,5997
2014-10-01 09:00:00,6373,6293,6243
2014-10-01 09:30:00,6534,6443,6409
2014-10-01 10:00:00,6626,6539,6506
2014-10-01 10:30:00,6723,6641,6592
2014-10-01 11:00:00,6789,6706,6653
2014-10-01 11:30:00,6820,6726,6683
2014-10-01 12:00:00,6766,6682,6645
2014-10-01 12:30:00,6675,6592,6567
2014-10-01 13:00:00,6669,6584,6540
2014-10-01 13:30:00,6728,6649,6598
2014-10-01 14:00:00,6806,6728,6643
2014-10-01 14:30:00,6841,6758,6659
2014-10-01 15:00:00,6831,6750,6653
2014-10-01 15:30:00,6833,6751,6640
2014-10-01 16:00:00,6850,6761,6643
2014-10-01 16:30:00,6842,6758,6651
2014-10-01 17:00:00,6827,6740,6638
2014-10-01 17:30:00,6714,6628,6595
2014-10-01 18:00:00,6609,6512,6494
2014-10-01 18:30:00,6412,6326,6325
2014-10-01 19:00:00,6411,6318,6306
2014-10-01 19:30:00,6431,6343,6333
